B80-2.fastq	B80-5.fastq	LF-5.fastq	B80-4.fastq	LF-6.fastq	B80-3.fastq	LF-2.fastq	LF-1.fastq	B80-1.fastq	LF-4.fastq	LF-3.fastq	B80-6.fastq
OTU_2369	0.48053	0.0	0.0	0.47368	0.0	0.50986	0.0	0.44125	0.47796	0.0	0.34613	0.47165
OTU_1966	1.1281	1.1381	0.0	2.5018	1.2707	0.88582	1.1375	2.3032	1.1232	1.4938	0.85874	0.0
OTU_1206	0.48053	0.0	0.45457	1.5574	0.88573	1.1838	1.1375	1.052	0.83637	1.0271	1.0598	1.1111
OTU_708	1.5735	1.3792	2.4448	1.3531	2.0385	2.1346	2.3219	1.052	2.5143	1.3544	1.6641	1.7313
OTU_4047	0.48053	0.0	0.0	0.0	0.0	0.0	0.48543	0.0	0.0	0.33282	0.62508	0.0
OTU_1630	0.84037	1.1381	1.078	0.82969	0.0	0.50986	0.48543	1.052	0.0	1.0271	0.62508	0.82651
OTU_4046	1.9133	2.6332	1.078	0.47368	0.64628	2.1346	2.0704	0.0	0.47796	1.0271	0.34613	1.7313
OTU_3718	0.48053	1.1381	0.45457	0.0	0.35903	0.0	0.48543	0.44125	0.0	0.33282	0.34613	0.47165
OTU_3721	0.84037	0.0	0.0	0.0	0.0	0.0	0.48543	0.0	0.0	0.0	0.0	0.0
OTU_2892	0.84037	0.0	0.45457	0.0	0.0	0.0	0.48543	0.0	0.0	0.33282	0.0	0.0
OTU_2117	1.7534	0.84851	1.3112	0.82969	1.5743	0.88582	0.48543	0.77868	0.83637	1.4938	0.34613	0.0
OTU_2060	1.7534	1.1381	1.3112	0.82969	0.88573	0.88582	0.48543	0.77868	0.83637	0.60307	0.62508	0.0
OTU_540	2.0573	2.0713	2.5397	3.3131	2.8513	2.3893	1.7655	1.2816	2.0504	2.2118	1.6641	1.7313
OTU_1109	1.7534	1.7663	1.078	1.3531	0.88573	0.88582	0.48543	1.6538	1.747	0.33282	1.0598	0.82651
OTU_451	2.6178	2.4339	1.9866	3.1331	3.1557	3.2446	2.8875	2.1947	2.9406	2.4359	2.556	2.9929
OTU_1008	1.9133	1.9269	1.6881	1.3531	1.4305	2.1346	0.848	2.1947	1.1232	1.3544	2.4164	1.1111
OTU_812	1.9133	1.3792	1.6881	1.7363	1.2707	1.1838	2.2016	0.0	0.83637	1.6209	1.7826	1.3487
OTU_486	2.6178	2.2025	2.7127	2.0389	2.3092	1.9882	1.926	1.2816	1.5675	2.1287	2.1779	1.5526
OTU_1000	1.3679	0.84851	1.845	2.3992	2.3092	0.88582	1.7655	2.1947	1.1232	2.0404	2.556	2.0334
OTU_500	3.4438	2.9645	3.7249	3.3684	3.0115	2.6057	3.406	3.0897	2.1811	2.689	1.9937	3.5161
OTU_1450	1.1281	0.0	1.078	1.3531	1.091	1.4306	0.48543	0.44125	1.5675	1.0271	1.2362	0.47165
OTU_2201	1.1281	1.5857	0.7997	1.3531	1.7051	0.50986	0.0	1.052	1.1232	0.60307	1.0598	0.0
OTU_1561	1.3679	1.1381	1.5119	1.3531	0.64628	0.50986	0.848	1.4797	0.83637	1.0271	0.85874	0.82651
OTU_1622	0.84037	0.0	0.7997	0.0	0.64628	0.88582	1.1375	0.44125	0.0	1.0271	0.85874	0.47165
OTU_843	1.7534	1.7663	1.845	2.1692	1.5743	1.8252	1.3785	1.8092	1.5675	1.9464	2.556	1.3487
OTU_1905	4.2911	3.512	1.845	1.8955	2.1345	3.482	1.585	2.5871	4.9655	2.365	2.621	2.9929
OTU_572	3.4438	2.7234	2.5397	3.3684	2.6055	2.7028	2.3219	2.3032	2.4116	2.2118	3.599	1.8902
OTU_3033	3.0891	2.7234	3.0717	4.2086	2.8513	3.6376	1.926	2.9631	2.8648	2.365	2.0888	3.5161
OTU_1454	2.0573	1.9269	1.078	0.47368	0.0	0.50986	0.0	1.052	0.83637	0.60307	0.0	0.82651
OTU_2786	1.1281	0.0	1.3112	0.0	0.88573	0.50986	0.0	0.0	0.0	1.0271	0.62508	0.47165
OTU_2020	1.1281	0.0	0.7997	0.0	0.64628	0.0	0.0	1.052	0.47796	0.33282	1.0598	0.47165
OTU_605	2.5218	1.5857	2.1155	2.3992	2.1345	1.8252	2.3219	1.9494	2.3009	1.6209	1.7826	1.7313
OTU_1703	0.48053	0.0	0.0	0.82969	0.0	0.88582	1.1375	0.0	0.0	0.83059	0.0	0.0
OTU_1185	3.4438	4.2183	2.3431	2.1692	2.4649	2.7938	2.2016	1.6538	2.1811	2.4359	2.0888	3.5641
OTU_2511	0.84037	1.3792	1.078	1.115	0.35903	0.88582	1.3785	0.44125	1.1232	1.4938	0.34613	0.47165
OTU_815	2.0573	1.5857	2.1155	2.2888	2.3891	1.4306	2.0704	2.8242	1.1232	2.689	2.1779	1.8902
OTU_502	3.9657	2.3229	3.5983	3.8682	3.7477	3.8218	2.9635	4.7801	3.8034	3.0916	4.198	2.8454
OTU_511	2.6178	2.4339	0.7997	1.7363	2.3092	2.1346	0.48543	1.2816	2.0504	1.9464	2.0888	1.5526
OTU_752	1.9133	2.4339	2.5397	2.3992	2.4649	2.7938	2.0704	3.261	3.4355	2.5035	2.8553	2.4958
OTU_1800	0.84037	0.48576	1.6881	1.3531	0.64628	1.1838	0.0	0.44125	0.83637	1.0271	1.3934	0.82651
OTU_1121	2.1882	0.0	1.078	1.115	1.5743	0.50986	0.0	2.0773	1.3624	0.33282	1.2362	1.1111
OTU_821	1.9133	2.0713	1.9866	1.8955	2.3891	2.1346	1.3785	2.0773	2.3009	2.4359	1.0598	2.7656
OTU_664	2.1882	1.3792	2.4448	2.1692	2.537	0.88582	2.5361	2.5871	1.5675	1.8459	1.2362	2.0334
OTU_620	2.0573	2.3229	2.2338	2.3992	3.8072	2.7028	3.0356	2.4985	2.7848	2.5035	2.9595	3.249
OTU_883	0.48053	1.3792	2.4448	2.1692	2.3092	1.1838	1.3785	1.6538	0.83637	2.0404	1.6641	1.7313
OTU_1273	1.5735	1.3792	1.845	1.5574	1.7051	0.0	1.585	1.052	1.1232	1.3544	0.62508	0.47165
OTU_1881	0.84037	0.0	1.078	0.47368	0.64628	0.0	1.1375	0.77868	1.1232	0.83059	0.62508	0.47165
OTU_1313	1.7534	0.84851	2.5397	2.8517	2.3092	1.8252	2.433	2.4985	1.3624	2.365	2.8553	1.8902
OTU_2191	0.48053	1.5857	0.45457	0.47368	0.88573	0.88582	0.48543	0.0	0.83637	0.83059	0.62508	1.3487
OTU_3856	0.84037	0.0	0.0	0.82969	1.091	0.50986	0.0	0.44125	0.83637	0.0	0.0	0.82651
OTU_1948	2.7079	4.4736	4.0492	4.0141	3.7777	3.1786	3.9069	3.4142	2.1811	3.8312	4.198	3.9362
OTU_461	3.6846	3.7015	3.2507	3.4217	3.2868	2.6057	2.9635	3.3139	2.3009	3.001	2.621	3.249
OTU_553	2.5218	2.4339	1.3112	2.6873	2.2245	0.88582	1.585	1.052	1.3624	2.2118	1.0598	1.1111
OTU_679	1.1281	1.3792	1.3112	1.7363	1.4305	1.8252	1.926	1.6538	1.5675	0.83059	1.3934	1.5526
OTU_238	0.48053	0.0	0.7997	1.5574	0.64628	0.88582	1.1375	6.4875	1.5675	0.83059	1.0598	0.82651
OTU_2782	1.3679	0.84851	0.45457	1.7363	0.64628	1.4306	1.1375	2.5871	2.0504	1.9464	2.3412	0.47165
OTU_1567	1.1281	0.84851	1.078	0.82969	1.4305	1.6413	1.7655	0.77868	0.47796	1.4938	0.0	0.82651
OTU_1330	2.0573	1.5857	1.5119	0.82969	1.825	0.88582	1.7655	1.2816	1.1232	1.8459	2.0888	0.47165
OTU_673	2.0573	2.8885	1.3112	0.47368	2.0385	1.6413	1.3785	1.8092	2.1811	1.3544	1.892	1.1111
OTU_2126	1.1281	0.0	0.7997	1.115	1.091	1.1838	0.48543	0.0	0.47796	0.83059	1.2362	0.47165
OTU_3749	0.84037	0.48576	0.7997	0.47368	0.0	0.50986	0.0	0.77868	0.83637	1.0271	1.0598	1.1111
OTU_1416	1.7534	1.1381	0.7997	0.82969	1.091	0.88582	0.0	0.44125	0.47796	0.83059	1.5351	0.82651
OTU_3889	1.1281	0.0	0.0	0.0	0.35903	0.0	0.0	0.77868	0.47796	0.0	0.85874	0.0
OTU_360	2.9485	3.9459	2.9386	3.3684	2.0385	1.9882	2.2016	2.8242	3.487	3.2177	3.1479	2.8454
OTU_2263	1.3679	1.1381	0.45457	0.47368	0.64628	0.0	0.848	1.052	0.0	0.33282	1.0598	0.0
OTU_1198	1.5735	1.3792	1.6881	1.8955	1.5743	0.88582	1.585	1.6538	1.1232	1.9464	1.9937	1.3487
OTU_1471	1.9133	2.0713	1.6881	1.7363	1.091	1.9882	2.0704	1.2816	1.5675	1.0271	0.0	1.3487
OTU_1579	2.3082	1.1381	1.078	1.7363	1.091	1.8252	1.1375	2.3032	0.47796	1.0271	1.5351	1.1111
OTU_460	1.7534	1.9269	1.845	3.3131	2.537	2.3893	2.9635	2.3032	2.3009	2.746	2.3412	2.283
OTU_3807	1.1281	0.0	0.0	0.47368	0.35903	0.0	0.0	0.44125	0.47796	0.60307	0.0	0.47165
OTU_422	2.419	2.9645	3.0067	2.6873	1.825	1.4306	2.3219	2.0773	2.3009	2.8535	2.4879	2.5915
OTU_1940	0.84037	1.3792	1.3112	1.115	0.64628	0.0	0.0	0.77868	1.5675	1.0271	1.3934	0.47165
OTU_527	2.419	2.3229	3.949	2.5975	1.825	2.1346	2.6323	3.0278	2.6102	2.568	2.1779	1.5526
OTU_1972	0.48053	0.0	0.45457	0.0	0.88573	0.0	0.0	0.0	0.47796	0.60307	0.34613	0.0
OTU_394	2.7079	2.4339	2.8672	2.9992	2.7336	2.6057	2.3219	2.4985	1.747	2.8535	2.3412	2.9929
OTU_1080	2.0573	1.5857	0.0	0.47368	0.35903	1.9882	0.48543	1.4797	2.3009	0.60307	1.5351	0.47165
OTU_1184	2.7079	1.3792	1.6881	2.7718	1.9357	1.8252	1.1375	2.3032	2.5143	0.83059	2.556	2.1636
OTU_400	2.1882	2.8083	0.45457	0.82969	1.091	0.0	5.4128	2.4985	1.1232	0.0	0.62508	0.47165
OTU_241	3.1546	3.171	3.5535	1.8955	1.5743	2.5016	2.433	5.7914	4.0962	4.1166	3.9421	3.1891
OTU_1339	1.1281	0.0	0.0	0.47368	1.091	0.50986	2.2016	0.44125	1.9067	0.33282	0.34613	0.0
OTU_518	2.7926	3.0366	1.6881	1.5574	1.825	1.8252	1.1375	1.2816	1.3624	2.0404	1.892	2.0334
OTU_995	1.7534	1.5857	2.6288	1.115	1.9357	0.50986	1.585	1.9494	1.1232	1.2	0.62508	1.5526
OTU_2292	1.1281	0.0	0.0	0.0	0.0	0.50986	0.0	0.77868	0.0	0.33282	0.0	0.0
OTU_926	1.9133	2.2025	2.2338	0.47368	1.2707	0.88582	1.585	1.2816	1.1232	1.6209	1.7826	0.47165
OTU_1857	1.3679	1.7663	0.0	1.115	0.0	1.4306	0.48543	1.2816	1.9067	0.33282	0.34613	1.5526
OTU_998	1.3679	2.2025	0.7997	1.7363	1.091	1.1838	0.48543	1.4797	1.5675	1.2	0.85874	2.5915
OTU_860	1.5735	1.9269	1.3112	2.8517	1.4305	1.8252	1.3785	1.052	1.1232	1.4938	0.62508	2.283
OTU_1382	2.0573	1.5857	1.078	1.3531	0.88573	1.1838	0.48543	1.2816	0.47796	1.0271	1.0598	1.1111
OTU_1525	0.48053	0.48576	0.0	0.0	0.0	1.6413	0.0	0.77868	1.5675	0.0	0.62508	1.3487
OTU_966	2.1882	3.1054	2.6288	1.7363	3.0115	1.4306	1.926	2.4985	2.7002	2.365	2.0888	2.4958
OTU_794	1.5735	1.3792	1.6881	2.2888	1.825	2.3893	1.926	1.6538	1.9067	2.0404	2.3412	1.8902
OTU_1480	1.5735	2.0713	0.45457	0.82969	0.0	0.0	0.0	1.2816	0.47796	0.0	0.34613	1.1111
OTU_376	2.7079	3.5618	1.5119	2.9992	2.0385	1.9882	2.2016	3.7186	3.3822	2.4359	2.7429	2.3933
OTU_2805	0.48053	0.0	0.0	0.0	0.88573	0.0	0.0	0.0	1.1232	0.60307	0.62508	0.0
OTU_3029	1.9133	1.3792	2.2338	1.8955	1.7051	1.9882	1.7655	2.5871	1.5675	2.2118	1.9937	1.8902
OTU_1534	0.84037	1.3792	0.0	1.115	1.4305	0.88582	0.848	1.9494	1.747	1.2	1.3934	0.47165
OTU_1395	2.1882	1.1381	0.45457	1.5574	1.2707	2.1346	0.48543	1.052	1.5675	1.2	1.7826	0.82651
OTU_1855	1.1281	1.9269	0.45457	0.47368	0.0	0.50986	0.48543	0.44125	0.0	0.0	0.62508	0.47165
OTU_816	1.9133	2.3229	2.8672	1.3531	2.0385	1.1838	1.585	1.2816	1.1232	1.6209	2.3412	1.5526
OTU_1686	0.84037	2.2025	1.6881	2.2888	1.825	0.88582	1.7655	1.4797	1.747	1.2	1.5351	2.0334
OTU_2928	1.1281	0.48576	0.0	0.47368	0.35903	0.0	0.0	0.44125	0.0	0.60307	0.34613	0.0
OTU_660	2.1882	1.5857	2.1155	0.82969	1.2707	1.4306	1.926	2.1947	1.1232	1.9464	2.1779	1.5526
OTU_846	0.84037	1.7663	0.7997	2.0389	1.825	0.50986	1.585	1.2816	0.47796	1.7378	1.3934	0.82651
OTU_243	2.9485	3.0366	4.0166	3.4731	3.9978	3.7326	3.4594	3.261	2.5143	3.475	3.599	3.5641
OTU_734	1.5735	0.84851	2.5397	1.8955	1.4305	1.6413	1.3785	2.0773	1.1232	1.2	2.3412	0.82651
OTU_2215	0.48053	0.84851	0.0	1.3531	0.35903	0.50986	0.48543	0.77868	1.1232	0.60307	0.85874	0.0
OTU_2037	1.1281	0.0	0.45457	1.7363	0.35903	0.0	1.3785	0.44125	1.1232	0.33282	1.3934	1.7313
OTU_756	2.5218	2.4339	1.078	0.82969	0.88573	2.3893	1.3785	1.052	2.3009	0.83059	0.0	1.7313
OTU_1363	0.84037	2.0713	2.1155	1.5574	1.091	0.88582	1.7655	1.2816	0.83637	1.6209	1.3934	0.0
OTU_771	2.419	1.7663	3.1339	2.0389	1.9357	1.6413	1.3785	2.6706	2.0504	2.365	2.621	1.8902
OTU_607	2.1882	1.5857	3.7647	2.6873	2.537	1.9882	2.2016	1.6538	2.0504	2.8007	2.2619	2.1636
OTU_610	3.6395	3.3515	1.5119	2.1692	1.4305	3.0368	3.1699	1.6538	3.6312	2.1287	0.62508	2.921
OTU_923	1.7534	1.7663	1.845	1.5574	1.4305	0.50986	0.48543	1.052	0.47796	1.4938	2.2619	1.1111
OTU_563	2.5218	2.0713	3.0067	1.7363	3.2444	1.6413	2.2016	2.3032	2.1811	2.689	2.4879	2.3933
OTU_875	2.1882	1.7663	2.7127	1.8955	2.1345	1.6413	1.7655	1.2816	0.83637	2.2118	2.3412	1.5526
OTU_1980	0.48053	0.48576	0.45457	0.0	0.88573	0.50986	0.0	1.4797	0.83637	0.60307	1.2362	0.0
OTU_1175	2.1882	1.1381	1.3112	1.3531	1.2707	1.8252	1.926	0.0	1.747	0.60307	1.2362	1.5526
OTU_945	1.5735	1.1381	1.5119	0.47368	0.88573	0.50986	1.3785	1.052	0.47796	1.4938	0.34613	0.0
OTU_1427	0.84037	0.48576	0.45457	0.47368	0.88573	0.0	0.48543	1.2816	2.4116	0.83059	0.62508	0.0
OTU_2657	0.84037	1.9269	0.7997	0.82969	0.64628	0.0	0.48543	1.4797	1.3624	0.60307	0.62508	0.82651
OTU_617	1.5735	1.7663	1.845	0.82969	1.9357	1.8252	2.8074	2.9631	1.747	1.7378	2.2619	1.7313
OTU_818	1.3679	2.0713	2.6288	1.5574	1.2707	1.1838	0.848	1.9494	0.0	2.1287	1.5351	1.1111
OTU_512	2.0573	1.7663	1.9866	1.3531	2.6055	1.9882	3.1043	2.4985	1.9067	2.1287	2.4164	2.3933
OTU_1443	1.9133	2.2025	1.9866	2.5018	2.2245	3.6859	1.1375	1.8092	1.3624	1.6209	2.1779	1.7313
OTU_4049	0.84037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_2885	1.1281	0.0	0.45457	0.0	0.64628	0.50986	0.0	0.44125	0.47796	0.0	0.34613	0.82651
OTU_1310	1.3679	1.1381	0.0	0.82969	1.5743	0.50986	1.3785	0.77868	0.47796	0.83059	1.5351	0.82651
OTU_894	2.1882	2.2025	2.6288	1.7363	2.537	1.6413	0.848	1.4797	0.83637	2.4359	1.9937	2.0334
OTU_1851	1.3679	0.48576	0.7997	0.47368	1.4305	1.1838	0.48543	0.44125	0.47796	0.33282	1.5351	0.82651
OTU_854	1.1281	1.5857	1.845	1.7363	2.3891	1.9882	2.2016	2.0773	1.3624	1.3544	1.5351	1.5526
OTU_1023	1.5735	2.0713	1.078	2.0389	1.825	1.8252	0.0	1.4797	0.47796	1.6209	1.2362	1.7313
OTU_1551	1.5735	0.84851	1.5119	1.3531	1.091	1.4306	0.848	0.44125	0.47796	0.60307	1.3934	1.3487
OTU_910	1.3679	0.84851	2.792	1.7363	1.7051	1.9882	2.2016	4.4191	1.5675	0.83059	1.0598	2.283
OTU_416	3.0205	2.9645	2.8672	2.1692	2.2245	2.5016	1.585	1.8092	2.3009	2.6298	2.1779	2.3933
OTU_1594	1.7534	1.5857	1.845	1.3531	1.9357	0.88582	1.1375	1.052	1.3624	0.83059	0.34613	1.1111
OTU_1659	0.48053	0.84851	1.9866	1.3531	1.2707	1.6413	1.1375	1.6538	1.5675	1.8459	1.6641	0.47165
OTU_2305	1.3679	0.0	1.078	0.47368	1.2707	0.50986	0.48543	0.44125	0.47796	1.2	1.9937	0.47165
OTU_1475	0.84037	1.1381	0.7997	1.5574	1.2707	0.88582	0.848	1.052	0.47796	0.33282	1.0598	1.5526
OTU_487	1.7534	2.537	3.1935	2.6873	2.3092	2.2676	2.0704	2.1947	1.5675	2.4359	3.103	1.5526
OTU_700	1.5735	2.0713	0.45457	0.47368	2.0385	2.1346	1.7655	1.9494	1.9067	1.3544	1.5351	1.3487
OTU_1079	2.7926	1.7663	0.0	0.0	0.64628	0.88582	0.0	1.052	1.5675	0.0	0.34613	1.1111
OTU_3206	0.48053	0.48576	0.0	0.47368	0.0	0.0	0.48543	0.0	0.83637	0.60307	0.0	0.0
OTU_534	1.9133	2.3229	2.6288	2.2888	1.9357	1.4306	2.7225	1.6538	2.0504	2.4359	0.85874	2.921
OTU_987	2.3082	1.9269	0.45457	0.82969	0.88573	1.6413	0.48543	1.052	2.0504	0.60307	0.62508	1.7313
OTU_3869	0.84037	0.0	0.0	0.0	0.0	0.0	0.0	0.77868	0.47796	0.0	0.34613	0.0
OTU_1910	1.5735	0.0	0.7997	0.82969	0.64628	0.88582	0.0	0.44125	0.0	0.83059	0.62508	1.3487
OTU_888	2.1882	1.9269	1.5119	2.2888	1.7051	0.50986	2.0704	2.8242	2.5143	1.7378	1.7826	1.8902
OTU_3704	0.48053	0.0	0.45457	0.0	0.0	0.0	0.0	0.44125	0.0	0.0	0.34613	0.82651
OTU_1412	0.84037	1.5857	2.6288	2.0389	1.825	0.50986	0.48543	1.4797	0.47796	1.3544	2.1779	1.1111
OTU_1508	1.3679	0.0	0.7997	0.82969	0.88573	0.0	1.3785	0.77868	0.0	0.60307	1.2362	0.0
OTU_573	2.419	1.9269	2.2338	2.3992	2.4649	2.5016	1.585	3.261	1.747	2.2904	2.0888	1.5526
OTU_743	1.1281	1.1381	2.3431	2.2888	1.825	0.50986	2.433	2.4985	1.5675	1.8459	2.1779	1.5526
OTU_1312	2.3082	0.0	1.6881	1.5574	1.9357	1.8252	0.0	2.8953	1.3624	2.1287	1.892	1.3487
OTU_3462	2.1882	1.3792	1.6881	2.1692	1.5743	1.4306	1.585	2.7494	1.1232	2.1287	2.2619	1.3487
OTU_2066	0.48053	0.48576	0.0	0.0	0.88573	0.50986	0.48543	1.052	0.47796	0.60307	0.34613	0.82651
OTU_991	0.48053	0.0	1.078	1.8955	1.091	1.4306	1.3785	0.77868	0.0	1.8459	1.7826	0.47165
OTU_4220	0.48053	0.48576	0.0	0.47368	0.35903	0.50986	0.48543	0.77868	0.0	0.60307	0.34613	0.0
OTU_900	2.7926	1.3792	0.0	2.1692	1.825	2.2676	0.848	2.7494	2.0504	2.0404	1.7826	0.0
OTU_2781	0.84037	0.48576	0.45457	0.0	0.35903	0.0	0.0	0.77868	0.47796	0.60307	0.85874	0.47165
OTU_737	0.48053	1.3792	1.6881	2.8517	2.2245	1.4306	1.926	1.2816	1.1232	1.6209	2.2619	1.5526
OTU_2471	1.5735	0.48576	1.3112	0.82969	0.88573	0.88582	1.1375	1.4797	0.47796	1.3544	2.1779	0.82651
OTU_723	2.5218	1.3792	2.7127	1.8955	2.6055	0.50986	2.0704	3.4618	1.1232	2.746	2.8553	2.8454
OTU_1417	1.5735	0.84851	1.3112	1.8955	1.4305	1.4306	1.7655	0.77868	1.5675	1.4938	1.3934	1.3487
OTU_840	1.7534	1.3792	1.078	1.7363	1.091	1.4306	0.848	1.6538	1.9067	1.0271	2.0888	0.47165
OTU_2735	0.48053	0.48576	0.0	0.0	0.35903	0.0	0.0	0.77868	0.0	0.83059	0.62508	0.0
OTU_1165	1.3679	1.5857	2.5397	1.5574	1.825	1.8252	1.7655	1.2816	1.1232	2.1287	1.9937	1.1111
OTU_1895	2.0573	0.84851	1.078	0.0	0.35903	0.50986	0.48543	0.0	0.0	0.60307	0.85874	1.1111
OTU_1509	1.1281	1.3792	1.3112	0.0	0.35903	0.0	1.7655	0.44125	0.83637	0.33282	0.0	1.5526
OTU_1045	2.419	0.0	1.5119	1.7363	0.64628	1.4306	1.1375	1.6538	2.0504	0.83059	2.0888	0.82651
OTU_819	1.9133	2.3229	2.9386	2.7718	1.7051	2.8794	2.9635	1.2816	2.4116	2.0404	1.6641	3.8225
OTU_753	1.5735	1.7663	1.3112	2.5018	1.7051	2.1346	2.7225	1.4797	2.0504	1.6209	2.0888	1.5526
OTU_2620	0.48053	0.0	1.5119	0.0	0.35903	0.0	0.48543	0.44125	0.0	0.33282	0.34613	0.82651
OTU_3805	1.3679	0.84851	1.5119	0.82969	2.2245	1.4306	1.3785	2.0773	0.0	2.365	1.7826	1.1111
OTU_2913	0.84037	0.84851	1.845	1.3531	1.2707	0.88582	0.848	1.6538	0.47796	1.0271	1.7826	0.82651
OTU_974	1.3679	1.3792	1.5119	1.8955	2.2245	1.8252	1.3785	1.4797	1.1232	1.7378	2.0888	1.1111
OTU_1224	2.1882	1.3792	1.078	2.2888	1.9357	1.4306	0.848	1.052	1.3624	1.6209	0.62508	1.8902
OTU_1351	0.84037	1.1381	1.845	1.115	1.2707	0.50986	0.0	1.2816	1.3624	1.4938	1.2362	0.82651
OTU_881	2.7926	3.869	2.2338	2.7718	2.3092	2.1346	2.8875	1.052	3.0126	2.2118	1.3934	3.7414
OTU_483	3.593	3.3515	3.0717	2.9992	3.2444	2.7938	2.5361	2.9631	4.3113	2.689	3.4637	2.8454
OTU_611	1.3679	1.5857	2.7127	2.0389	2.0385	1.6413	2.3219	1.8092	1.5675	1.7378	2.4164	1.8902
OTU_2836	0.48053	0.84851	0.0	0.0	0.35903	0.0	0.0	0.0	0.83637	0.0	0.62508	0.0
OTU_685	1.9133	2.3229	2.3431	2.5975	3.6537	3.0368	2.6323	2.6706	2.4116	3.047	2.8553	3.0613
OTU_4429	0.48053	0.0	0.0	0.82969	0.0	0.0	0.0	0.44125	0.0	0.33282	0.34613	0.82651
OTU_452	2.6178	3.512	2.3431	1.5574	1.7051	2.7028	2.8875	1.9494	3.2692	2.0404	1.5351	1.7313
OTU_1303	0.84037	0.84851	0.7997	0.82969	0.35903	0.88582	0.848	2.1947	1.1232	0.33282	0.62508	0.0
OTU_1628	1.1281	0.84851	0.45457	0.0	0.64628	0.50986	0.848	0.0	0.47796	0.0	0.0	0.82651
OTU_678	1.7534	1.7663	2.5397	2.0389	2.7336	0.0	2.0704	1.4797	1.9067	2.8535	1.7826	0.82651
OTU_2490	1.7534	1.3792	0.7997	0.47368	1.2707	0.50986	0.0	1.9494	0.0	0.0	0.34613	0.47165
OTU_3622	1.1281	0.84851	0.0	1.115	1.2707	2.1346	0.48543	4.9567	0.47796	1.7378	0.85874	1.3487
OTU_1070	1.5735	0.0	0.7997	0.47368	0.35903	0.0	0.0	0.0	2.4116	1.0271	1.3934	0.82651
OTU_590	1.5735	1.9269	2.6288	2.2888	3.2008	1.1838	1.7655	2.0773	0.83637	2.1287	2.0888	1.8902
OTU_2071	1.5735	1.9269	2.2338	2.2888	1.5743	1.4306	1.1375	2.4042	3.4355	1.8459	2.6832	1.8902
OTU_3187	1.5735	0.84851	1.6881	1.3531	1.825	1.4306	0.48543	1.9494	1.3624	1.7378	1.6641	1.7313
OTU_538	2.8727	2.537	1.9866	2.2888	2.2245	3.3077	2.5361	2.8953	2.6102	3.001	3.0568	2.4958
OTU_795	2.6178	1.7663	2.1155	2.1692	2.0385	1.9882	1.3785	2.4985	1.5675	2.2118	2.6832	1.8902
OTU_1701	1.7534	0.48576	0.7997	2.0389	1.4305	0.50986	0.848	1.2816	2.0504	1.2	1.0598	1.7313
OTU_3875	0.84037	0.48576	0.0	0.47368	0.64628	0.50986	0.0	1.052	0.0	0.0	0.34613	0.47165
OTU_430	4.0018	5.2865	2.7127	2.5975	1.091	3.9058	1.7655	2.1947	3.487	1.0271	3.4637	3.6555
OTU_418	2.0573	1.1381	1.845	2.9273	2.671	3.4263	2.2016	3.1491	2.0504	1.6209	1.7826	2.5915
OTU_1195	1.9133	0.48576	0.7997	1.115	0.64628	1.4306	1.1375	0.77868	1.9067	1.0271	0.62508	1.5526
OTU_445	1.3679	1.1381	2.8672	2.1692	2.6055	0.0	0.848	3.261	1.747	3.001	2.8553	0.47165
OTU_1051	1.7534	2.3229	0.45457	1.115	1.4305	0.0	0.848	0.77868	0.0	1.2	1.2362	1.5526
OTU_4119	0.84037	0.48576	0.45457	0.82969	0.0	0.0	0.48543	0.0	0.47796	0.33282	0.34613	0.0
OTU_1354	0.84037	0.48576	0.7997	0.82969	0.88573	1.6413	1.585	0.77868	0.47796	0.60307	0.62508	1.1111
OTU_887	1.3679	1.3792	1.9866	2.5975	1.2707	0.88582	1.7655	2.0773	0.83637	1.7378	1.2362	1.1111
OTU_2123	1.1281	0.48576	1.078	0.47368	0.35903	0.50986	0.0	1.052	0.0	0.0	0.0	0.82651
OTU_645	1.7534	1.7663	2.3431	2.1692	2.2245	1.4306	2.433	2.8242	2.0504	2.9043	2.556	2.5915
OTU_2994	1.5735	1.1381	0.0	0.47368	0.0	0.0	0.0	0.44125	0.0	0.0	0.0	0.47165
OTU_967	1.5735	2.0713	0.45457	1.8955	1.4305	2.3893	1.926	1.8092	2.6102	1.3544	1.7826	1.8902
OTU_1820	1.1281	1.1381	1.3112	1.3531	1.2707	1.4306	0.848	0.44125	0.83637	1.0271	0.34613	0.47165
OTU_3116	1.1281	0.48576	0.45457	0.0	0.0	0.50986	0.0	0.44125	0.47796	0.83059	0.34613	0.47165
OTU_996	0.84037	0.48576	1.845	0.82969	2.0385	0.0	0.48543	1.052	0.83637	1.6209	1.5351	1.3487
OTU_844	1.5735	1.1381	2.6288	1.5574	2.9601	0.88582	2.6323	1.9494	1.3624	1.4938	2.1779	0.82651
OTU_683	3.0205	1.5857	2.4448	2.1692	1.9357	2.7028	1.1375	2.8242	2.7848	2.2118	2.7429	2.3933
OTU_4223	0.48053	0.0	0.0	0.47368	0.35903	0.0	0.0	0.0	0.47796	0.0	0.0	0.0
OTU_697	2.9485	3.4605	3.2507	3.3131	3.0115	1.9882	2.6323	2.4042	1.1232	3.1769	3.2335	2.4958
