OTUID	LF-1.fq	LF-6.fq	B80-1.fq	B80-4.fq	LF-2.fq	LF-3.fq	B80-5.fq	B80-6.fq	B80-2.fq	LF-4.fq	LF-5.fq	B80-3.fq
816441	17	43	39	33	58	22	52	44	56	32	32	27
330923	119	91	47	42	50	57	39	31	37	67	70	46
2381147	39	10	8	9	3	6	6	2	4	6	5	1
139887	47	53	37	7	47	49	51	40	18	22	18	65
544841	76	15	2	0	4	1	2	10	5	5	1	4
235519	31	32	17	47	19	43	36	10	34	30	38	18
748070	28	20	10	26	14	51	23	26	17	34	23	7
513073	26	19	19	17	5	54	15	7	22	22	29	13
849118	430	270	470	145	292	215	236	225	299	135	140	232
3094	102	82	30	113	14	22	16	18	37	157	22	54
1552835	11	5	17	4	6	3	5	1	5	9	5	14
544457	139	7	32	4	7	36	16	16	17	47	23	6
2651002	3	0	1	0	1	0	0	0	3	3	1	1
810167	210	208	233	203	211	192	282	335	304	286	265	379
571871	2	5	0	4	3	6	3	0	2	5	4	2
691349	52	89	56	41	99	34	80	74	82	54	58	51
103743	66	59	42	59	33	29	116	68	90	40	59	75
400524	567	621	293	577	379	581	409	548	519	393	307	473
1110303	70	32	20	28	13	26	43	47	28	19	48	35
321578	3	5	2	1	3	3	0	1	1	2	3	2
4400135	14	30	16	21	5	25	6	6	19	37	16	5
942151	26	32	26	26	41	24	29	27	16	29	19	39
1108960	119	94	84	49	149	66	96	127	75	64	83	70
4304329	6	1	2	4	0	1	1	1	0	5	1	1
1105085	377	492	1075	522	906	386	1645	1094	937	184	143	1084
166838	21	18	10	14	8	22	17	12	16	21	18	20
245652	4	4	3	3	2	2	3	6	5	4	5	3
36906	23	23	104	27	7	37	23	17	68	43	22	39
4304337	4	4	0	0	2	3	1	0	0	2	1	4
537664	100	70	146	28	68	64	74	66	141	31	14	125
336364	55	82	117	113	59	42	71	67	82	53	50	67
165611	82	159	78	92	144	31	129	68	132	35	47	66
532331	68	159	125	141	117	68	194	299	152	90	115	219
550784	10	6	0	2	7	2	1	2	0	4	2	2
1858797	63	42	33	10	29	23	37	25	36	9	14	31
105146	182	153	22	60	51	76	24	54	33	138	110	41
246829	14	14	5	11	12	23	3	8	9	20	20	3
2880504	37	84	12	4	267	9	3	2	5	5	4	4
1146658	4	3	0	0	0	0	0	1	1	1	2	0
255294	3	1	0	4	1	2	2	1	0	1	3	0
578551	16	39	26	6	16	14	10	13	10	28	14	78
804397	122	78	114	37	108	49	89	57	91	47	52	63
4437178	3	1	0	3	0	0	2	1	2	0	1	2
267595	2	2	0	2	0	0	1	6	0	1	2	2
204335	23	17	17	15	12	39	10	7	17	31	22	17
556561	90	346	97	148	40	316	42	74	85	298	207	74
307611	60	38	33	30	15	93	12	22	30	53	34	34
209762	53	59	41	69	33	90	67	56	54	40	32	66
577244	7	8	0	5	8	6	4	6	5	9	4	0
148550	220	337	298	404	150	71	296	409	359	299	200	1432
570086	220	136	241	137	188	101	281	317	178	30	74	128
252343	1	1	0	1	0	2	0	1	2	3	0	0
1037355	92	73	121	32	85	72	43	32	53	60	109	63
2679706	2	0	1	0	0	0	2	0	1	0	0	0
751360	7	2	3	0	1	2	6	1	5	1	1	1
569456	58	167	335	181	178	53	260	173	187	95	28	448
978664	10	7	65	6	5	18	20	12	37	11	6	24
751207	6	16	31	25	38	5	17	30	14	6	12	24
4420131	7	18	3	5	10	14	5	1	5	12	5	4
864304	17	8	13	9	7	14	3	7	7	10	4	4
812105	3	0	1	0	0	1	1	0	1	1	2	1
844369	166	127	113	40	110	19	122	75	82	4	10	44
