KO	B80_1	B80_2	B80_3	B80_4	B80_5	B80_6	LF_1	LF_2	LF_3	LF_4	LF_5	LF_6
ko00380	24.3285948153	24.6921070726	26.1082206823	22.8088287311	24.2746507139	24.3341105832	16.1628289267	22.241648922	14.5585091759	13.5995804217	12.0627480294	20.5405801969
ko00400	22.9533746399	22.7692581265	23.0500776251	22.020633386	22.7738766461	22.6239179224	20.2728037043	22.1608663828	19.5869647398	19.5843398584	18.5272764338	21.4958367953
ko00401	4.35004248088	4.30649406074	4.39202544587	4.07218147947	4.27371418742	4.14856160191	3.49596566739	3.90063548044	3.34995532339	3.29304147963	3.12883935852	3.81777361359
ko00410	20.1076942205	20.59148351	21.6726873414	19.8262315184	20.0406146672	20.2846920633	14.6326561343	19.2202887943	13.4485703485	12.8189334691	11.6254960587	17.9292873937
ko00430	4.89044076507	5.07176897361	4.87320610398	4.87528002452	4.98052407255	4.79992130345	4.17725966546	4.97023888741	4.01451989827	3.77493945424	3.58651807556	4.7543267276
ko00440	4.70750357461	4.48585722076	4.97180885304	3.99691088735	4.49072074311	4.53363548923	2.34143127831	3.66259648656	2.00774967352	1.91643913801	1.68468333786	3.28803012357
ko00450	11.8666514703	11.8359532447	11.8873300769	11.4520244299	11.8924714742	11.7181643301	10.187373731	11.4347052169	9.76519004743	9.60861986518	9.11693394944	10.9864938922
ko00460	7.55482106223	7.35685326126	7.62069748949	6.96795340392	7.40123468588	7.26835524206	6.32258347869	7.07174940112	6.01386693244	5.88470853194	5.5999728187	6.7122350487
ko00471	3.75006734774	3.58240273135	3.77893899807	3.7457731035	3.62544676134	3.74248739398	3.70893827408	3.63651184456	3.52993332875	3.62075986857	3.57227507475	3.60404476108
ko00472	0.52980914686	0.447898143538	0.532034533682	0.36390218596	0.44714359435	0.470168177446	0.222220827948	0.327621772691	0.161282562375	0.154210437009	0.133487360696	0.287393710114
ko00473	2.68705058334	2.60566185362	2.6813396948	2.47822293489	2.62395596414	2.59440671544	2.10353741326	2.45999134948	2.01073956973	1.98758233452	1.87667844523	2.33759966058
ko00480	21.7837619413	21.5633639187	22.8635881707	20.7089867239	21.258672426	21.5491416246	17.4611687644	20.9509582113	16.499501684	16.279081247	15.3392362055	19.4099916913
ko00520	32.9731230702	32.3781681959	31.3506759059	31.255122975	33.0176984385	32.1367133988	30.8039552773	33.2442274421	29.8758162073	29.291005291	28.4930279967	31.7622288614
ko00521	9.65236131546	9.50451667971	9.12151160589	9.05579267574	9.63307276237	9.30499285902	9.66742794042	9.50194636678	9.41312117671	9.36457031792	9.22326719217	9.34032209592
ko00531	1.59450442423	1.57555065557	1.30991328714	1.11177399958	1.80281340188	1.51554985572	0.938625440765	1.67108064945	0.733675854011	0.542058093079	0.458847512911	1.27411741828
ko00540	12.5962865491	11.2194561017	11.9960430156	10.7404673757	11.4567190994	11.7576583404	8.70524902436	10.5014472984	7.49738813664	7.74357906428	6.95474313672	9.72604168508
ko00550	19.986986344	19.480024658	19.8868188875	19.5048458981	19.5419238929	19.6619108689	18.9129638228	19.5341196433	18.19209224	18.4655776143	18.1828078282	19.09190871
ko00561	10.4662950453	10.6586291107	10.5524821084	10.2539203433	10.7034269223	10.2646098691	9.55013740573	10.0505389939	9.36887414943	9.28808983911	8.98844794781	10.0260752736
ko00562	7.73164514993	7.81316831448	7.7014086107	7.04077157073	7.76036390742	7.33157480544	5.50210186847	7.05514705882	5.25809333975	4.76026964074	4.45827670563	6.54324959782
ko00564	18.0399941977	17.4361381796	18.0385285319	16.8973282713	17.6574415627	17.2623655601	14.243490482	16.6437982433	13.3422915664	13.3124161229	12.7235661865	15.8072197571
ko00591	2.66757154402	2.72556132489	2.61696770041	2.3450373759	2.72303663921	2.44759392579	1.43668670239	2.24893532073	1.28553508832	1.17845959245	1.01140255504	2.07944561317
ko00592	1.54064695277	1.52547597032	1.53385209588	1.49987030443	1.47078610883	1.45319012504	1.26619066143	1.43964599414	1.16377414255	1.17850586947	1.09022832291	1.42685664787
ko00620	39.4041278985	38.975104915	40.3901889507	38.4192468225	38.5115154527	38.9489346819	34.0121092721	37.428416955	32.3640284556	32.2284233421	30.7583310682	36.426061131
ko00621	4.83577512071	5.28197832942	5.63296603431	5.14450444502	5.16727509031	5.12079920721	3.59689299921	4.76194437051	3.67831122414	3.46511484412	3.17162272357	4.62962504641
ko00622	5.4557680751	6.33793299666	6.48032867583	6.01320536704	6.10202404388	5.89891865108	4.08851689651	5.5333377695	4.48140765688	3.98429666651	3.64283772764	5.46562483427
ko00623	9.81310483453	10.0376271428	10.4664129653	9.13983540453	9.87695189312	9.67818939637	7.14484697143	8.91033404312	6.96339954636	6.60605920373	6.2390459364	8.48538900773
ko00624	5.53822243405	5.26061597553	5.92561248059	5.10236517556	5.1562852392	5.22065638754	4.40417362061	4.49292986425	4.05517561344	4.16739938606	3.94476759989	4.63583007761
ko00625	12.3882752761	13.1570050027	13.0512893332	11.9600301837	12.9274669827	12.3440350928	9.60418365938	11.7045182326	9.53910921713	8.99861168957	8.47681435173	11.3990135591
ko00626	5.91201276499	6.1593522536	6.15479571358	5.89553611432	6.06807973854	5.8748141887	5.16163682223	5.79599747139	5.11782596742	5.00615484289	4.81773579777	5.71310127813
