	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23	id
50	15905.541	13636.24	13591.682	0	0	0	8796.6865	8909.286	8684.087	379176.245	216330.725	219279.659	Analyte 52
51	1500289.01	1953223.17	1851770.9	33927758.3	36570232.1	32929739.2	2046062.21	1404110.83	2042955.69	2391813.41	1949737.79	2120894.65	Analyte 53
52	65161.769	76461.217	72854.695	0	0	0	62638.516	52889.026	70579.727	93104.374	74086.719	92601.222	unknown
53	139898.61	198089.911	194230.59	2115.088	1608.7155	1102.343	35074.684	26976.626	35029.418	759653.714	609526.147	685961.876	unknown
54	66809.832	81574.867	74192.3495	0	0	0	0	0	0	0	0	0	unknown
55	0	0	0	0	0	0	0	0	0	29613.74	9431.873	19522.8065	Analyte 57
56	2042001.83	2952460.28	2681521.01	3481081.22	4244498.77	3805808.1	913886.91	655980.044	1009848.41	1224713.72	879032.036	1025921.72	glycolic acid
57	0	0	0	0	0	0	0	0	0	19283.19	16099.466	18409.029	Analyte 59
58	99711.148	83989.001	67098.629	0	0	0	109542.449	57858.798	54412.152	0	0	0	Analyte 60
59	0	0	0	98009.386	129899.391	99845.356	0	0	0	0	0	0	Analyte 61
60	0	0	0	0	0	0	10028.163	21963.8625	33899.562	0	0	0	Analyte 62
61	739254.191	14815156.7	14584073.7	120658.551	2923486.77	3143420.97	3284932.76	4232655.85	9837258.38	3484689.46	4021610.81	3606294.7	Analyte 63
62	0	0	0	1718.013	15070.909	8394.461	0	0	0	0	0	0	Analyte 64
63	0	0	0	14845.822	34953.946	31914.237	0	0	0	0	0	0	Analyte 65
64	29595.195	57866.261	57415.845	441369.951	393826.69	285935.359	38183.443	33442.518	53531.661	170794.947	135138.754	151167.999	Analyte 66
65	0	0	0	242855.119	214763.879	140513.751	0	0	0	35566.966	26846.731	31735.888	Analyte 67
66	0	0	0	45907.544	45239.279	41695.301	0	0	0	36520.85	28304.206	32412.528	Analyte 68
