id	B8011	B8012	B8013	LF11	LF12	LF13	B8021	B8022	B8023	LF21	LF22	LF23
Analyte 94	13955.755	14950.104					21868.74	10306.256				
3-hydroxybutyric acid	78540.977	86240.918	97135.625	218928.854	228402.014	188851.449	31866.174	23338.187	30524.637	56027.242	45587.529	37684.964
unknown		7664.246	6196.035					3236.916	4004.926	34788.779		17080.384
sulfuric acid	502983.042	375838.57	443848.676	590003.954	745586.06	535746.19	243271.2	218576.278	198853.195	251088.661	292120.889	287239.742
4-HYDROXYPYRIDINE				556303.216						191247.251	130014.39	150523.424
Analyte 99	5568.6	6616.413								8329.81		
Analyte 100	55794.927	81152.711	75730.598	80391.272	82277.16	74037.334	45849.401	28672.757	48337.303	94337.847	71759.647	72032.891
Analyte 101	261207.882	156610.393	108158.006	10058.896			93898.787	38637.103	16639.949	75393.926	41005.784	33383.051
unknown				64189.498	57626.092	49157.25						
Analyte 103	37173.886	49858.289	41891.395	20922.907	26183.24		34056.859	20965.868	23790.62	92129.125	61214.195	60245.384
Analyte 104	241450.925	344358.406	327305.325	3525172.29	3845567.48	3169109.43	390343.977	275455.301	390247.823	424250.288	370871.847	415634.149
Analyte 105				24011.138	21852.512	20202.886				41346.963	25575.706	25278.194
Analyte 106	16489.59	31261.1	24481.475				20644.278	11043.321	15100.595	166796.924	93359.329	95980.568
phenylacetaldehyde 1				267014.932	228188.654	166574.836						
Analyte 108				45012.436	49912.224	61497.547						
Analyte 109		22139.422							21922.91		27831.776	28482.647
Analyte 110	27504.89			11690.333	13836.457		24888.16	16397.32		28309.757	20059.806	18161.126
unknown	37437.528	42503.038	45485.552	375131.754	398154.119	337516.644	15217.206	10692.24	12941.875		64091.687	65780.156
malonic acid 1	143538.17	133018.909	113408.964	271739.538	255453.925	214528.358	196738.26	115758.892	121849.043	284887.2	179839.359	176453.521
Analyte 113				211883.132	389896.646	362276.661				47893.866	48450.441	72984.123
Analyte 114				49093.099	52731.16	50849.713				69626.667	53715.352	60025.676
Analyte 115				13141.887	15829.134	13460.489	7240.335	5662.922	5968.868	10317.203	6254.581	10021.549
unknown				172675.752	168970.049	137943.768						
Methylmalonic acid						71020.516				22788.761	14376.596	17261.439
unknown	47897.499	64317.166	73409.42	121217.62	102449.174	86666.111	85200.739	74090.582	73264.367	121451.214	109022.856	126022.717
Analyte 119	9819.432		21406.628							52102.966		37316.108
valine			20503.246		77996.287	84045.653			17514.678	63503.813	72924.796	88773.57
Analyte 121					25980.906	31357.39	8815.954					
Analyte 122	28172.203	25631.732	23295.782				22856.297	14874.408	13442.511			
canavanine degr prod	108557.063	164839.337	158933.003	236447.842	263089.849	217085.523	159930.502	112267.408	154702.507	174958.164	147029.302	160206.327
Analyte 124	374.004	480.25		181664.845	157988.654	158705.303	687.707		8136.115	61997.016	28264.756	18260.184
hydroxyurea				31161.687	36301.157	27764.247					10087.61	10737.94
unknown				222064.609	230898.984	193344.084						
Analyte 127				8818.123	12809.43	10914.715						
unknown	24066.022	39022.287	34353.825		41856.419	38209.132	12674.992			13778.009		8514.068
Analyte 129				81379.369	84957.141	65400.804						
4-hydroxybutyrate	203361.191	291534.088	345609.123	8391636.57	8947544.61	7780172.47	207217.17	134060.378	243039.5	3220738.25	1706634.68	1649140.67
urea										504784.929	601912.698	701671.742
Analyte 132	10401.266	9272.827	7689.185				8907.929		5019.122			
Dihydroxyacetone				2205656.78	2425889.03	2124847.71				42299.012		28819.308
2-ketoadipate 3				36217.855	40134.244	34238.284						
Analyte 135	36703.809	74461.03	55003.268	214149.682	277129.453	238845.044		14010.958	9405.702	196742.807	137359.906	140235.885
Analyte 136				231900.64	207778.34	199243.446				60554.329	36036.459	31861.048
Analyte 137	10530.584	22733.049	18847.778	103715.506	100933.529	100678.335	188528.008	126503.592	183043.878	206234.398	141554.137	147158.998
Analyte 138				69953.785	69661.977	57673.591						
4-Methylbenzyl alcohol				177493.241	150865.105	132015.487						
unknown							27336.675	22236.845	19354.398			
glycerol	4104519.99	4899397.29	4368614.26	15292014.2	14572782.8	14042668.7	3200630.68	2557338.5	3367057.79	11647349.1	9988228.21	10544807.9
oxamic acid	3963093.92			264823.114	398079.873	475686.584				785358.562		415835.279
Ethanolamine	1388034.22		1633742.8	2301538.83	2451159.03	2246374.05	1148445	1002642.43		1776169.48	1448600.05	1456425.98
Analyte 144									20193.085	31965.724		35864.572
Analyte 145	50945.35	42064.675	17329.865				214688.363				1644856.34	931499.625
unknown				20728.676	19487.936	16761.413						
2-Deoxyuridine				21245.803	23304.921	17417.654				32000.974	24004.85	20238.785
unknown						12211.617				80773.17	45214.865	43399.417
phosphate	114029999	137814168	60242333.4	5779595.3	11788195.8	8489016.4	82647701.9	136192188	42573049.1	31923967.5	31073603.8	35900451.6
Analyte 150	2438506.17	2088027.3	1972904.76				2494469.82	2203760.07	2110193.84			
unknown	789858.335	1198448.79	927431.67				969811.126		879130.385			
Analyte 152				95176.837	111025.705	86427.8				41818.086	29785.577	39329.843
unknown	79.432	0	71.735	19172.11	21856.361	17441.615				4963.788	1819.154	5334.863
acetanilide 2				284647.825	313304.589	245254.715						
O-acetylserine 2	4004690.27	6702257.1	6046797.31	6576334.7	6887733.4	5738876.35	5197514.66	3172336.9	4222855.61	1264390.67	660445.123	757868.125
2-Deoxyerythritol	3264377.75	4364624.2	4323552.76	9184284.92	9176807.84	7816466.31	820729.638	473079.233	823465.633	2368396.77	1563523.26	1597132.95
nicotinic acid				211458.686	194077.371	186695.491						
unknown				83423.409	91039.675	98675.889						
Isoleucine				60646.776	59269.105	55929.562				12222.026	12078.134	11811.704
Analyte 160	34908.273	18098.487	16165.053	9266.717	6470.67	6348.078	18164.622	30683.072	35896.296	16455.642	15490.098	28002.236
Analyte 161				30654.071	33016.632	26674.828	22552.943	15303.364	25002.924	47527.002	34002.094	36271.166
O-methylthreonine 1	55569.73	137157.906	122383.796	423041.052	548155.392	364138.529	216270.119	135589.399	233013.349	149174.472	101275.736	122421.567
Analyte 163	45756.297	59794.993	52562.616	18599.006	21504.718	15912.68	116662.966	81812.281	107044.421	65406.701	44538.492	46972.306
Analyte 165							9383.516	4243.525	8247.675			
Analyte 166				22119.318	22685.948	19040.529					22584.037	27179.275
Analyte 167							17263.336	9409.355	15420.734			
unknown	26984.04				11550.807					14396.53	11293.41	10716.258
glycine 2	1298176.94	1980088.37	1997672.98	2134566.96	2273871.87	2045220.45	1463021.5	1137498.89	1521715.28	2024971.42	1380119.48	1475649.48
succinic acid	1327080.92	1878198.32	1810965.26	1340076.07	1425448.79	1224745.08	1159724.74	886367.718	1207892.12	2289452.88	1615472.37	1668062.52
unknown				24235.346	12404.907	22543.017		9436.235		15957.421		13883.301
Analyte 172				83209.339	93442.243	87765.951						
Analyte 173	19016.542	9010.277	12990.5		10934.025		9728.18	6601.298			11513.276	
"2,3-Dihydroxypyridine"		34250.796	38977.651	260798.142	259105.752	262610.115	24089.011	23736.063	27638.718	32501.18	29059.637	30182.918
unknown				13398.548		10511.68				70985.737	46203.857	52384.178
D-Glyceric acid	400209.215	502840.45	506331.96	373510.972	377069.988	345243.332	196845.858	151541.793	184951.287	179883.474	118909.818	130064.615
Analyte 177		51099.541	65043.127						34483.187			
"2,2-Dimethylsuccinic Acid"		944.839		13726.108		12125.528						
Analyte 179					5674.111	5591.924				2328.931		
unknown	97488.605	110186.524	101751.852	59924.264	66821.24	57934.16	76355.453	63671.689	70734.156	49972.057	40556.497	45734.031
Thymol										102362.916	60551.762	35538.919
oxamide			26805.017	82372.803	89491.76	86335.047						
Analyte 183	5252.201				33508.582	29417.235						
Analyte 184				164408.826	175254.898	151769.874						
unknown	1230494.53	1731774.79	1622252.96	1899482.65	2088789.56	1780823.82	592734.483	425487.552	642247.679	1017051.31	716702.26	750111.19
Analyte 186							48774.599			139524.895	51613.923	37140.782
unknown				10534.254	6573.821	8096.974						
uracil		15941.693		16083.321	52625.19	49708.394				14901.459	19269.824	22625.433
Analyte 189				29906.914	37045.039	31836.003						
Analyte 190		29839.868	34139.508				46966.393	30630.406	47247.692	28974.083	24000.044	35088.347
Analyte 191				37483.197	38950.675	55007.147						
picolinic acid	22696.916	43452.373	33533.734							73008.085	44708.486	45737.288
Itaconic acid	52660.656	31837.908		35872.666	32861.211	27972.592	34644.47	23246.905	20558.025	33603.393	21336.778	26364.499
Analyte 194	40310.396	62463.653	70380.423	212835.05	254360.233	191292.251			20043.521	94534.591	54500.642	57019.79
fumaric acid	55543.482	78395.456	77742.352	27106.742	38707.221	28011.2	24970.938	20235.705	22612.43	50143.274	38794.289	44283.152
unknown				53025.332	54473.132	49833.091						
serine 1			26409.714							13999.281	40211.247	55238.254
Analyte 198		43377.946		48850.296	59361.47	57410.334			27809.94		21897.531	
"2,3-Dimethylsuccinic acid"	120161.431	258009.057	241342.347	199546.721	245615.339	240668.545	230569.347	215615.988	291107.318			
unknown	26137.742	71490.831	72110.985	32301.337	35489.475	33928.077	30468.862	26431.631	32392.302	50331.814	36633.758	40135.503
3-Hydroxynorvaline 2				204394.238	221761.915	253087.328						
cyclohexylamine	858622.766	1183265.39	1283226.78	2961440.62	2978424.66	2387545.53	373075.68	390480.393	476413.127	11195631.9	9312172.53	10592783.1
Pelargonic acid	63590.653	83353.188	77553.301	154802.933	134066.239		78738.054	57614.529	83447.525			
unknown				718686.6	788338.343	641281.3				144409.684	111993.194	143667.355
unknown	38272.361	44180.747	53130.529	56220.39	51304.098	53491.622	50667.467	53024.614	59454.975	61020.384	57572.71	76419.181
Analyte 206	23601.993	34662.941	29541.412	41598.469	59232.315	51492.451	29651.124	21169.511	30484.224	36309.806	24568.931	33586.721
N-Acetyl-beta-alanine 1				96040.939	103499.278	94671.186					14783.434	
threonine 1			13249.423		25695.84	31464.681				25340.415	29432.476	40150.511
Aminooxyacetic acid		46009.396	39251.253	71551.851	92895.878	97689.819			79603.517	82540.236	60137.757	73925.567
Analyte 210	742011.222	811727.668	780234.062	6239511.7	6406566.04	5412559.14	427826.303	246610.707	411340.138	1409803.37	987700.688	1011464.86
Analyte 211		38309.828	34351.657	396566.551	403701.416	396842.489	21588.151	16166.063	17953.586	44886.967	31458.515	32780.827
unknown				89789.38	102884.77	107832.481						
Analyte 213				74908.983	77961.919	85637.697						
Tartronic acid	172311.768	212157.288	197309.029	573571.014	587253.773	562487.949	201939.277	140391.187	197680.916	605491.071	416893.403	448645.792
Analyte 215				11897.067	11830.671	12529.276						
Analyte 216				150657.008	157123.125	140534.9						
Analyte 217				15190.45	19068.489	23252.098						
2-methylfumarate				217414.659	282349.792	207325.783						
unknown	7640.805	11194.565	11102.699	408043.717	431579.748	383739.134				46817.276		29604.488
unknown		69417.009	51987.469	70990.005	65892.784	87837.904	100597.493	80997.859	98480.221			
Glutaric Acid		36552.495	35520.612	51758.363	54509.725	49142.45	16466.603	14140.162		42438.427	30387.796	28252.021
Analyte 223		10976.282	11626.115	17357.445	18607.214	18003.202						8162.85
DL-Anabasine 1				24404.097	25455.444	25663.149						
hydroquinone	9848.572	14725.668	13515.839				9011.037	9422.571	14228.904	23720.866	17562.193	22298.109
2-Methylglutaric Acid	13945.711	16188.692	17880.625	48244.579	39934.911	27362.947	234.537	1122.236	839.185	54109.094	31196.586	35128.662
Analyte 227	7844.983	12117.103	11084.832							44885.033	31605.98	34342.569
Analyte 228				31096.476	35267.656	38858.944						
Analyte 229		3545.729		9734.398	16063.253	13262.396				3018.952	3621.188	6375.196
2-Deoxytetronic acid	11291.104	17717.756	20082.204	19791.936	22453.451	22922.893	10912.237	8370.938	7905.259	19971.82	14020.057	17105.752
unknown				13182.046	23973.641	21481.597						
Biuret 3				17776.123	22262.421	16735.824						
