id	B8011	B8012	B8013	B8014	B8015	B8016	LF11	LF12	LF13	LF14	LF15	LF16
myo-inositol	102455.889	98018.262	86465.911	102455.889	98018.262	86465.911	335423.17	333275.895	322379.518	335423.17	333275.895	322379.518
mucic acid	8777.405	12108.769	12339.341	8777.405	12108.769	12339.341	10086.4865	10772.483	9400.49	10086.4865	10772.483	9400.49
Monostearin	388460.106	478379.424	468691.901	388460.106	478379.424	468691.901	866952.36	1195455.01	930410.196	866952.36	1195455.01	930410.196
Methylmalonic acid	0	0	0	0	0	0	0	0	0	0	0	0
Methyl-beta-D-galactopyranoside	0	0	0	0	0	0	76668.456	77130.589	63468.36	76668.456	77130.589	63468.36
Methyl yellow	0	0	0	0	0	0	0	0	0	0	0	0
Methyl Palmitoleate	155598.992	242139.639	216980.237	155598.992	242139.639	216980.237	1253249.31	1414767.84	1321752.77	1253249.31	1414767.84	1321752.77
melibiose 2	69105.332	159079.729	146701.192	69105.332	159079.729	146701.192	200289.836	198918.196	185512.389	200289.836	198918.196	185512.389
mannose 2	380767.64	393693.042	398147.901	380767.64	393693.042	398147.901	1102277.66	1136562.89	1006971.4	1102277.66	1136562.89	1006971.4
mannitol	160859.88	153725.843	146614.756	160859.88	153725.843	146614.756	282131.997	478812.289	282827.603	282131.997	478812.289	282827.603
malonic acid 1	143538.17	133018.909	113408.964	143538.17	133018.909	113408.964	271739.538	255453.925	214528.358	271739.538	255453.925	214528.358
Maleamate 1	0	0	0	0	0	0	48773.31	47685.4	38982.696	48773.31	47685.4	38982.696
Lyxose 1	151430.191	176890.993	160352.139	151430.191	176890.993	160352.139	311549.174	312471.013	274100.742	311549.174	312471.013	274100.742
L-Threose 2	24882.526	24302.201	24592.3635	24882.526	24302.201	24592.3635	150790.732	231320.605	172455.194	150790.732	231320.605	172455.194
L-Malic acid	135304.675	243477.244	189367.721	135304.675	243477.244	189367.721	39251.508	45251.656	37530.502	39251.508	45251.656	37530.502
L-kynurenine 1	0	0	0	0	0	0	5181.837	5162.679	40074.17	5181.837	5162.679	40074.17
Linoleic acid methyl ester	1819454.54	2614691.27	1845702.06	1819454.54	2614691.27	1845702.06	7867004.28	8166446.19	9594124.21	7867004.28	8166446.19	9594124.21
Levoglucosan	6736.385	7342.933	7343.115	6736.385	7342.933	7343.115	67941.742	67884.961	7476.761	67941.742	67884.961	7476.761
lauric acid	64465.338	58275.666	54245.971	64465.338	58275.666	54245.971	176431.753	202880.948	162687.583	176431.753	202880.948	162687.583
lactose 2	0	0	0	0	0	0	484707.613	558063.122	554243.658	484707.613	558063.122	554243.658
Lactobionic Acid 1	119094.467	110955.874	102817.281	119094.467	110955.874	102817.281	245077.2165	257872.279	232282.154	245077.2165	257872.279	232282.154
lactic acid	8419503.26	10322031.3	9921180.53	8419503.26	10322031.3	9921180.53	73827543.9	79062533.8	75291396.6	73827543.9	79062533.8	75291396.6
Lactamide 2	16134.674	21129.33	21184.979	16134.674	21129.33	21184.979	0	0	0	0	0	0
Itaconic acid	52660.656	31837.908	42249.282	52660.656	31837.908	42249.282	35872.666	32861.211	27972.592	35872.666	32861.211	27972.592
Isoxanthopterin	0	0	0	0	0	0	41403.225	50413.055	40591.161	41403.225	50413.055	40591.161
Isoleucine	0	0	0	0	0	0	60646.776	59269.105	55929.562	60646.776	59269.105	55929.562
indole-3-acetamide 3	0	0	0	0	0	0	31797.269	36681.004	29180.444	31797.269	36681.004	29180.444
hydroxyurea	0	0	0	0	0	0	31161.687	36301.157	27764.247	31161.687	36301.157	27764.247
hydroxylamine	230339.155	326627.468	318549.865	230339.155	326627.468	318549.865	0	0	0	0	0	0
hydroquinone	9848.572	14725.668	13515.839	9848.572	14725.668	13515.839	0	0	0	0	0	0
"Hydantoin, 5-(4-hydroxybutyl)- 2"	598186.0195	524819.739	671552.3	598186.0195	524819.739	671552.3	193935.942	387236.453	363186.817	193935.942	387236.453	363186.817
Homovanillic acid	72939.07	256362.749	248660.159	72939.07	256362.749	248660.159	108107.655	124104.315	102660.68	108107.655	124104.315	102660.68
glycolic acid	2042001.83	2952460.28	2681521.01	2042001.83	2952460.28	2681521.01	3481081.22	4244498.77	3805808.1	3481081.22	4244498.77	3805808.1
glycocyamine 2	36998.561	50160.655	47967.928	36998.561	50160.655	47967.928	61247.029	69983.396	56815.875	61247.029	69983.396	56815.875
glycine 2	1298176.94	1980088.37	1997672.98	1298176.94	1980088.37	1997672.98	2134566.96	2273871.87	2045220.45	2134566.96	2273871.87	2045220.45
glycerol	4104519.99	4899397.29	4368614.26	4104519.99	4899397.29	4368614.26	15292014.2	14572782.8	14042668.7	15292014.2	14572782.8	14042668.7
Glutaric Acid	36036.5535	36552.495	35520.612	36036.5535	36552.495	35520.612	51758.363	54509.725	49142.45	51758.363	54509.725	49142.45
glucose-6-phosphate 1	62594.279	427537.213	400713.832	62594.279	427537.213	400713.832	632551.512	903322.047	846344.199	632551.512	903322.047	846344.199
Glucose-1-phosphate	241944.324	425465.888	220182.479	241944.324	425465.888	220182.479	603924.321	1066932.54	767850.535	603924.321	1066932.54	767850.535
glucose 1	2462623.663	2568227.739	2538706.238	2462623.663	2568227.739	2538706.238	5131229.26	5216353.61	4650389.302	5131229.26	5216353.61	4650389.302
Glucosaminic acid	0	0	0	0	0	0	63944.414	61816.7785	59689.143	63944.414	61816.7785	59689.143
Gluconic lactone 1	33097.073	36045.702	35251.543	33097.073	36045.702	35251.543	83598.603	85337.987	75625.401	83598.603	85337.987	75625.401
gluconic acid 1	251867.921	449864.901	385501.16	251867.921	449864.901	385501.16	1283708.74	1290853.08	1054569.67	1283708.74	1290853.08	1054569.67
Glucoheptonic acid 2	0	0	0	0	0	0	143402.501	173770.593	142543.322	143402.501	173770.593	142543.322
Gentiobiose 2	0	0	0	0	0	0	234329.61	239089.639	261111.076	234329.61	239089.639	261111.076
galactose 1	16115.894	16053.9795	15992.065	16115.894	16053.9795	15992.065	62698.643	58834.532	81122.565	62698.643	58834.532	81122.565
Galactonic acid	5742.376	14132.211	16678.087	5742.376	14132.211	16678.087	108808.146	101275.012	103908.632	108808.146	101275.012	103908.632
Galactinol 3	0	0	0	0	0	0	190255.18	97707.143	167594.503	190255.18	97707.143	167594.503
fumaric acid	55543.482	78395.456	77742.352	55543.482	78395.456	77742.352	27106.742	38707.221	28011.2	27106.742	38707.221	28011.2
fucose 2	0	0	0	0	0	0	26617.694	24904.841	25696.456	26617.694	24904.841	25696.456
fructose-6-phosphate	0	0	0	0	0	0	11406.5845	11744.286	11068.883	11406.5845	11744.286	11068.883
"Fructose 2,6-biphosphate degr prod 1"	0	0	0	0	0	0	16292.264	36153.922	29395.491	16292.264	36153.922	29395.491
fructose 1	9594006.59	10068529.24	8754981.19	9594006.59	10068529.24	8754981.19	17279211.73	19076079.87	13592043.49	17279211.73	19076079.87	13592043.49
flavin adenine degrad product	149646.376	185647.787	150924.519	149646.376	185647.787	150924.519	26242.494	44454.24	21076.605	26242.494	44454.24	21076.605
Ethanolamine	1388034.22	1510888.51	1633742.8	1388034.22	1510888.51	1633742.8	2301538.83	2451159.03	2246374.05	2301538.83	2451159.03	2246374.05
Erythrose 2	77713.172	118200.566	111700.19	77713.172	118200.566	111700.19	746891.58	812494.098	686277.035	746891.58	812494.098	686277.035
Erythrose 1	322148.514	390877.57	352620.61	322148.514	390877.57	352620.61	4067767.36	4344035.54	3523202.44	4067767.36	4344035.54	3523202.44
Elaidic acid	5447.3615	5548.365	5346.358	5447.3615	5548.365	5346.358	28443.254	32603.986	25073.246	28443.254	32603.986	25073.246
Dodecanol	0	0	0	0	0	0	0	0	0	0	0	0
DL-dihydrosphingosine 1	128434.835	127569.768	126704.701	128434.835	127569.768	126704.701	0	0	0	0	0	0
DL-Anabasine 1	0	0	0	0	0	0	24404.097	25455.444	25663.149	24404.097	25455.444	25663.149
Dioctyl phthalate	237029.494	139696.787	123350.401	237029.494	139696.787	123350.401	728155.636	747921.992	729459.681	728155.636	747921.992	729459.681
Dihydroxyacetone	0	0	0	0	0	0	2205656.78	2425889.03	2124847.71	2205656.78	2425889.03	2124847.71
Diglycerol 2	335879.52	383532.929	353467.238	335879.52	383532.929	353467.238	693028.738	738418.42	566225.59	693028.738	738418.42	566225.59
Diglycerol 1	82569.049	91339.482	84397.392	82569.049	91339.482	84397.392	147608.699	151694.416	122963.767	147608.699	151694.416	122963.767
Digalacturonic acid 2	0	0	0	0	0	0	71049.271	59034.436	50155.386	71049.271	59034.436	50155.386
D-Glyceric acid	400209.215	502840.45	506331.96	400209.215	502840.45	506331.96	373510.972	377069.988	345243.332	373510.972	377069.988	345243.332
d-Glucoheptose 2	87769.832	71951.033	65086.934	87769.832	71951.033	65086.934	623880.702	381380.434	455849.288	623880.702	381380.434	455849.288
D-erythronolactone 1	19198.943	19256.944	19140.942	19198.943	19256.944	19140.942	13432.8785	15499.863	11365.894	13432.8785	15499.863	11365.894
Dehydroascorbic Acid 1	56349.643	58445.989	49086.51	56349.643	58445.989	49086.51	0	0	0	0	0	0
Dehydroabietic Acid	0	0	0	0	0	0	109550.576	132345.179	130130.994	109550.576	132345.179	130130.994
D-Altrose 1	408629.3795	401788.782	415469.977	408629.3795	401788.782	415469.977	261261.152	434142.857	376005.531	261261.152	434142.857	376005.531
D-alanyl-D-alanine 2	0	0	0	0	0	0	122276.004	128000.884	103563.172	122276.004	128000.884	103563.172
cytidine-monophosphate degr prod	103067.496	111418.742	94716.25	103067.496	111418.742	94716.25	67279.007	77667.7595	88056.512	67279.007	77667.7595	88056.512
cyclohexylsulfamic acid 1	16988.632	15963.854	15957.136	16988.632	15963.854	15957.136	10465.752	12505.182	11485.467	10465.752	12505.182	11485.467
cyclohexylamine	858622.766	1183265.39	1283226.78	858622.766	1183265.39	1283226.78	2961440.62	2978424.66	2387545.53	2961440.62	2978424.66	2387545.53
Cumic Acid	47418.388	54236.669	64902.093	47418.388	54236.669	64902.093	77714.908	65188.854	81398.521	77714.908	65188.854	81398.521
creatine	95447.364	97271.854	93622.874	95447.364	97271.854	93622.874	670848.701	780608.509	610564.966	670848.701	780608.509	610564.966
conduritol b epoxide 2	69450.925	64564.382	53140.124	69450.925	64564.382	53140.124	1528191.33	1217075.38	1242794.78	1528191.33	1217075.38	1242794.78
citric acid	82789.9195	90266.802	75313.037	82789.9195	90266.802	75313.037	0	0	0	0	0	0
Citramalic acid	50551.559	56134.314	52486.558	50551.559	56134.314	52486.558	140391.625	146891.994	131686.588	140391.625	146891.994	131686.588
Citraconic acid 2	22909.198	27373.196	24944.06	22909.198	27373.196	24944.06	58329.334	50003.521	33079.976	58329.334	50003.521	33079.976
cis-sinapinic acid	0	0	0	0	0	0	11950.452	44129.423	37002.585	11950.452	44129.423	37002.585
Cetadiol 2	18188.639	19475.374	16901.904	18188.639	19475.374	16901.904	33058.458	54012.72	59060.167	33058.458	54012.72	59060.167
cellobiose 2	76777.554	52620.593	77457.081	76777.554	52620.593	77457.081	145014.083	210170.132	200190.049	145014.083	210170.132	200190.049
Carbobenzyloxy-L-leucine	0	0	0	0	0	0	0	0	0	0	0	0
carbamoyl-aspartic acid 1	0	0	0	0	0	0	34286.119	31250.698	44316.784	34286.119	31250.698	44316.784
Capric Acid	0	0	0	0	0	0	15170.358	11619.372	11755.231	15170.358	11619.372	11755.231
canavanine degr prod	108557.063	164839.337	158933.003	108557.063	164839.337	158933.003	236447.842	263089.849	217085.523	236447.842	263089.849	217085.523
caffeic acid	7074.551	6142.727	6997.44	7074.551	6142.727	6997.44	19411.39	25567.689	17340.819	19411.39	25567.689	17340.819
Biuret 3	0	0	0	0	0	0	17776.123	22262.421	16735.824	17776.123	22262.421	16735.824
beta-Mannosylglycerate 2	164155.684	165326.158	168851.95	164155.684	165326.158	168851.95	390264.095	344508.268	281916.098	390264.095	344508.268	281916.098
beta-Glutamic acid 1	69992.038	99165.129	93452.881	69992.038	99165.129	93452.881	82908.836	91412.358	77802.12	82908.836	91412.358	77802.12
beta-Alanine 2	16857.279	71168.022	71786.311	16857.279	71168.022	71786.311	0	0	0	0	0	0
Benzylsuccinic acid	271369.009	363427.861	365404.543	271369.009	363427.861	365404.543	660311.379	783185.064	643617.444	660311.379	783185.064	643617.444
Benzylamine	0	0	0	0	0	0	15890.747	16769.608	13958.174	15890.747	16769.608	13958.174
Behenic acid	34745.6695	48652.907	20838.432	34745.6695	48652.907	20838.432	83821.344	143475.489	111794.555	83821.344	143475.489	111794.555
azelaic acid	461552.444	566138.958	535099.799	461552.444	566138.958	535099.799	1822739.06	2080458.95	1632554.04	1822739.06	2080458.95	1632554.04
Atrazine-2-hydroxy 3	136000.9485	140491.499	131510.398	136000.9485	140491.499	131510.398	0	0	0	0	0	0
ascorbate	0	0	0	0	0	0	116073.57	117104.261	116588.9155	116073.57	117104.261	116588.9155
arginine	0	0	0	0	0	0	0	0	0	0	0	0
Arachidic acid	36657.778	40053.799	34091.943	36657.778	40053.799	34091.943	95216.55	104624.575	98534.732	95216.55	104624.575	98534.732
androsterone 1	0	0	0	0	0	0	0	0	0	0	0	0
Anandamide 2	35874.907	40934.112	30815.702	35874.907	40934.112	30815.702	60240.534	80903.882	39577.186	60240.534	80903.882	39577.186
Aminooxyacetic acid	42630.3245	46009.396	39251.253	42630.3245	46009.396	39251.253	71551.851	92895.878	97689.819	71551.851	92895.878	97689.819
alpha-D-glucosamine 1-phosphate	0	0	0	0	0	0	15068.398	20646.95	16456.466	15068.398	20646.95	16456.466
Allantoic acid 1	0	0	0	0	0	0	100771.231	102502.628	92411.646	100771.231	102502.628	92411.646
alanine 1	132464.88	112179.074	152750.686	132464.88	112179.074	152750.686	0	0	0	0	0	0
adipic acid	113647.341	84928.165	76034.352	113647.341	84928.165	76034.352	168839.283	84327.061	70796.551	168839.283	84327.061	70796.551
Adipamide 5	0	0	0	0	0	0	100661.763	167724.566	94199.01	100661.763	167724.566	94199.01
acetanilide 2	0	0	0	0	0	0	284647.825	313304.589	245254.715	284647.825	313304.589	245254.715
6-phosphogluconic acid	29365.913	33158.049	25573.777	29365.913	33158.049	25573.777	23828.591	78778.434	52462.888	23828.591	78778.434	52462.888
6-deoxy-D-glucose 1	55743.051	30363.5415	4984.032	55743.051	30363.5415	4984.032	115785.914	94169.076	75637.769	115785.914	94169.076	75637.769
5-Methoxypsoralen	95898.597	260576.991	257693.067	95898.597	260576.991	257693.067	139545.054	261138.928	200341.991	139545.054	261138.928	200341.991
5-Hydroxyindole-3-acetic acid 1	24158.528	38771.647	35776.429	24158.528	38771.647	35776.429	28282.521	747.933	29357.033	28282.521	747.933	29357.033
"5beta-androstane-3,17-dione"	28339.031	120854.857	124336.264	28339.031	120854.857	124336.264	199101.086	307069.157	315207.843	199101.086	307069.157	315207.843
4-Pyridoxic acid	15169.136	16296.088	14042.184	15169.136	16296.088	14042.184	0	0	0	0	0	0
4-Methylbenzyl alcohol	0	0	0	0	0	0	177493.241	150865.105	132015.487	177493.241	150865.105	132015.487
4-HYDROXYPYRIDINE	0	0	0	0	0	0	0	0	0	0	0	0
4-hydroxyphenylacetic acid	0	0	0	0	0	0	0	0	0	0	0	0
4-Hydroxycyclohexanecarboxylic acid	5609.216	5688.82	5529.612	5609.216	5688.82	5529.612	0	0	0	0	0	0
4-hydroxybutyrate	203361.191	291534.088	345609.123	203361.191	291534.088	345609.123	8391636.57	8947544.61	7780172.47	8391636.57	8947544.61	7780172.47
4-Hydroxybenzoic acid	30984.3505	28416.602	33552.099	30984.3505	28416.602	33552.099	53522.504	61242.13	65155.42	53522.504	61242.13	65155.42
4-aminobutyric acid 1	19033.802	369900.442	376249.925	19033.802	369900.442	376249.925	287295.109	359883.455	331287.529	287295.109	359883.455	331287.529
"4',7-dihyroxyflavanone 2"	17829.249	39539.966	33444.41	17829.249	39539.966	33444.41	38136.496	51161.75	73159.55	38136.496	51161.75	73159.55
3-ureidopropionate 2	41293.708	36763.835	45823.581	41293.708	36763.835	45823.581	48259.078	60089.076	54174.077	48259.078	60089.076	54174.077
3-phosphoglycerate	20385.339	19177.18	21593.498	20385.339	19177.18	21593.498	0	0	0	0	0	0
3-Methyloxindole 2	100121.705	308233.74	320873.38	100121.705	308233.74	320873.38	834765.026	907033.253	545056.403	834765.026	907033.253	545056.403
3-Hydroxypropionic acid 1	2170790.72	3786308.89	3755783.37	2170790.72	3786308.89	3755783.37	2036301.67	2045293.4	2034795.71	2036301.67	2045293.4	2034795.71
3-Hydroxypalmitic acid	14462.486	19132.521	17921.768	14462.486	19132.521	17921.768	62224.566	81347.573	65893.935	62224.566	81347.573	65893.935
3-Hydroxynorvaline 2	0	0	0	0	0	0	204394.238	221761.915	253087.328	204394.238	221761.915	253087.328
3-hydroxy-L-proline 3	12092.096	14472.253	14780.343	12092.096	14472.253	14780.343	86161.526	96900.64	73434.167	86161.526	96900.64	73434.167
3-hydroxybutyric acid	78540.977	86240.918	97135.625	78540.977	86240.918	97135.625	218928.854	228402.014	188851.449	218928.854	228402.014	188851.449
3-hydroxy-3-methylglutaric acid	0	0	0	0	0	0	0	0	0	0	0	0
3-Hexenedioic acid	178982.538	262937.306	257436.076	178982.538	262937.306	257436.076	925961.082	1069717.5	884247.198	925961.082	1069717.5	884247.198
3-Aminoisobutyric acid 1	10763.872	78559.446	88039.786	10763.872	78559.446	88039.786	27480.932	34943.62	33324.759	27480.932	34943.62	33324.759
"3,6-Anhydro-D-galactose 4"	17015.339	30113	31609.392	17015.339	30113	31609.392	68480.606	90716.536	65439.675	68480.606	90716.536	65439.675
3-(4-hydroxyphenyl)propionic acid	147812.16	211052.207	202947.28	147812.16	211052.207	202947.28	120574.71	134022.274	105751.433	120574.71	134022.274	105751.433
2-Monopalmitin	245709.495	204103.268	170885.321	245709.495	204103.268	170885.321	669100.655	678219.158	614599.934	669100.655	678219.158	614599.934
2-Methylglutaric Acid	13945.711	16188.692	17880.625	13945.711	16188.692	17880.625	48244.579	39934.911	27362.947	48244.579	39934.911	27362.947
2-methylfumarate	0	0	0	0	0	0	217414.659	282349.792	207325.783	217414.659	282349.792	207325.783
2-Ketovaleric acid 2	25689.517	26209.728	25169.306	25689.517	26209.728	25169.306	0	0	0	0	0	0
2-ketoadipate 3	0	0	0	0	0	0	36217.855	40134.244	34238.284	36217.855	40134.244	34238.284
2-Indanone	265033.2935	284400.663	245665.924	265033.2935	284400.663	245665.924	236671.603	409992.991	224156.753	236671.603	409992.991	224156.753
